epoch: 0	train ppl: 618.5249276933582	val ppl: 341.48051570545624	best val: 341.48051570545624	time (s) spent in epoch: 1415.8628571033478
epoch: 1	train ppl: 419.41101592202904	val ppl: 296.68685591404903	best val: 296.68685591404903	time (s) spent in epoch: 1611.6145677566528
epoch: 2	train ppl: 373.7365285701161	val ppl: 280.97552277056514	best val: 280.97552277056514	time (s) spent in epoch: 1596.6793520450592
epoch: 3	train ppl: 351.40357587685037	val ppl: 272.4105972421906	best val: 272.4105972421906	time (s) spent in epoch: 1260.8484830856323
epoch: 4	train ppl: 338.8432100921348	val ppl: 275.37586627027383	best val: 272.4105972421906	time (s) spent in epoch: 1247.573729276657
epoch: 5	train ppl: 332.8782583929118	val ppl: 279.9552177438768	best val: 272.4105972421906	time (s) spent in epoch: 1251.0870478153229
epoch: 6	train ppl: 328.42342819391223	val ppl: 271.93767646565215	best val: 271.93767646565215	time (s) spent in epoch: 1261.7338881492615
epoch: 7	train ppl: 326.58094879893264	val ppl: 275.2098049100062	best val: 271.93767646565215	time (s) spent in epoch: 1264.8643672466278
epoch: 8	train ppl: 327.0391694460796	val ppl: 271.4062012902083	best val: 271.4062012902083	time (s) spent in epoch: 1248.3001203536987
epoch: 9	train ppl: 327.4749057868879	val ppl: 274.70122073662077	best val: 271.4062012902083	time (s) spent in epoch: 1249.5642399787903
epoch: 10	train ppl: 328.927069769932	val ppl: 284.5410445044249	best val: 271.4062012902083	time (s) spent in epoch: 1253.3873410224915
epoch: 11	train ppl: 332.10225634410165	val ppl: 276.68661412330164	best val: 271.4062012902083	time (s) spent in epoch: 1243.5012247562408
epoch: 12	train ppl: 338.41513903924755	val ppl: 290.7726805648293	best val: 271.4062012902083	time (s) spent in epoch: 1250.5703239440918
epoch: 13	train ppl: 347.923770048875	val ppl: 298.79074390924256	best val: 271.4062012902083	time (s) spent in epoch: 1253.3157455921173
epoch: 14	train ppl: 364.1879541264891	val ppl: 297.1740421127325	best val: 271.4062012902083	time (s) spent in epoch: 1251.368783712387
epoch: 15	train ppl: 394.71507316725746	val ppl: 353.58342610495134	best val: 271.4062012902083	time (s) spent in epoch: 1260.6847369670868
epoch: 16	train ppl: 465.04622495672214	val ppl: 422.45088115771375	best val: 271.4062012902083	time (s) spent in epoch: 1260.7124092578888
epoch: 17	train ppl: 675.5110893180597	val ppl: 612.0747708743312	best val: 271.4062012902083	time (s) spent in epoch: 1255.8137691020966
epoch: 18	train ppl: 4148.536810523678	val ppl: 4757.90342810235	best val: 271.4062012902083	time (s) spent in epoch: 1259.0202746391296
epoch: 19	train ppl: 6535.172686418613	val ppl: 59662.02371136375	best val: 271.4062012902083	time (s) spent in epoch: 1254.8792374134064
epoch: 20	train ppl: 4234.6629528445355	val ppl: 421294.3067758272	best val: 271.4062012902083	time (s) spent in epoch: 1253.145111322403
epoch: 21	train ppl: 3418.619483353996	val ppl: 1675.3040360903665	best val: 271.4062012902083	time (s) spent in epoch: 1257.8284647464752
epoch: 22	train ppl: 2926.784594003074	val ppl: 1550.265144777055	best val: 271.4062012902083	time (s) spent in epoch: 1260.2936308383942
epoch: 23	train ppl: 2655.6996231204057	val ppl: 1468.428085537959	best val: 271.4062012902083	time (s) spent in epoch: 1267.5336394309998
epoch: 24	train ppl: 2519.1186850511767	val ppl: 1400.184564711686	best val: 271.4062012902083	time (s) spent in epoch: 1255.367691040039
epoch: 25	train ppl: 2440.7322845475805	val ppl: 4948.680931181726	best val: 271.4062012902083	time (s) spent in epoch: 1260.8354387283325
epoch: 26	train ppl: 2418.8682949675012	val ppl: 13381.373177402389	best val: 271.4062012902083	time (s) spent in epoch: 1256.7779874801636
epoch: 27	train ppl: 2362.749254855973	val ppl: 11837.355625786211	best val: 271.4062012902083	time (s) spent in epoch: 1264.0047092437744
epoch: 28	train ppl: 2282.1515828118654	val ppl: 1250.675201522605	best val: 271.4062012902083	time (s) spent in epoch: 1262.8445115089417
epoch: 29	train ppl: 2178.94043104659	val ppl: 2239.3525740730825	best val: 271.4062012902083	time (s) spent in epoch: 1258.3689057826996
epoch: 30	train ppl: 2238.5388206915372	val ppl: 5036.396814845658	best val: 271.4062012902083	time (s) spent in epoch: 1264.036432981491
epoch: 31	train ppl: 2175.3936341458216	val ppl: 11205.79347298602	best val: 271.4062012902083	time (s) spent in epoch: 1257.046448469162
epoch: 32	train ppl: 2107.540680009952	val ppl: 10569.382644878091	best val: 271.4062012902083	time (s) spent in epoch: 1268.5543212890625
epoch: 33	train ppl: 2052.897046884901	val ppl: 15075.54609516773	best val: 271.4062012902083	time (s) spent in epoch: 1227.7955784797668
epoch: 34	train ppl: 2011.0474373452644	val ppl: 14236.592006481249	best val: 271.4062012902083	time (s) spent in epoch: 1262.9239585399628
epoch: 35	train ppl: 1994.5941258398723	val ppl: 15019.195438208562	best val: 271.4062012902083	time (s) spent in epoch: 1263.3360488414764
epoch: 36	train ppl: 1974.893314138702	val ppl: 12678.345134877422	best val: 271.4062012902083	time (s) spent in epoch: 1259.0006077289581
epoch: 37	train ppl: 1947.1530233903097	val ppl: 17847.966658555444	best val: 271.4062012902083	time (s) spent in epoch: 1263.0573992729187
epoch: 38	train ppl: 1915.9876088034728	val ppl: 10690.933316079707	best val: 271.4062012902083	time (s) spent in epoch: 1263.9834697246552
epoch: 39	train ppl: 1897.7372868948653	val ppl: 8096.179702458084	best val: 271.4062012902083	time (s) spent in epoch: 1147.448213815689
