epoch: 0	train ppl: 11141.174819774034	val ppl: 14520.53403421584	best val: 14520.53403421584	time (s) spent in epoch: 151.03989791870117
epoch: 1	train ppl: 8476.019226288861	val ppl: 13833.007240789984	best val: 13833.007240789984	time (s) spent in epoch: 151.20015144348145
epoch: 2	train ppl: 6132.326646587169	val ppl: 2371.568677701412	best val: 2371.568677701412	time (s) spent in epoch: 151.206556558609
epoch: 3	train ppl: 5321.184784919547	val ppl: 1419.0544221627927	best val: 1419.0544221627927	time (s) spent in epoch: 151.30894255638123
epoch: 4	train ppl: 4134.818684867139	val ppl: 7036.880253735233	best val: 1419.0544221627927	time (s) spent in epoch: 150.65669870376587
epoch: 5	train ppl: 3417.8452953098013	val ppl: 2754.6397790663423	best val: 1419.0544221627927	time (s) spent in epoch: 150.57374334335327
epoch: 6	train ppl: 3099.8194886792767	val ppl: 1327.3977974493293	best val: 1327.3977974493293	time (s) spent in epoch: 151.23731303215027
epoch: 7	train ppl: 2807.2105427358533	val ppl: 3437.7086719768295	best val: 1327.3977974493293	time (s) spent in epoch: 150.5952169895172
epoch: 8	train ppl: 2735.5420169136823	val ppl: 7179.790327297002	best val: 1327.3977974493293	time (s) spent in epoch: 150.5797414779663
epoch: 9	train ppl: 2334.765008368745	val ppl: 8697.141803711302	best val: 1327.3977974493293	time (s) spent in epoch: 150.51563167572021
