epoch: 0	train ppl: 549.1440574624613	val ppl: 538.8408668586194	best val: 538.8408668586194	time (s) spent in epoch: 211.054452419281
epoch: 1	train ppl: 293.423299546114	val ppl: 531.8847428135783	best val: 531.8847428135783	time (s) spent in epoch: 210.63527607917786
epoch: 2	train ppl: 254.87120785546387	val ppl: 523.8422647852466	best val: 523.8422647852466	time (s) spent in epoch: 211.0338020324707
epoch: 3	train ppl: 235.96970026073384	val ppl: 617.3165698151134	best val: 523.8422647852466	time (s) spent in epoch: 209.623464345932
epoch: 4	train ppl: 222.91218025131113	val ppl: 379.88319615008953	best val: 379.88319615008953	time (s) spent in epoch: 210.33745622634888
epoch: 5	train ppl: 213.2427519167354	val ppl: 392.1549376406143	best val: 379.88319615008953	time (s) spent in epoch: 209.22459650039673
epoch: 6	train ppl: 203.93508658975426	val ppl: 374.9528031511737	best val: 374.9528031511737	time (s) spent in epoch: 210.08558917045593
epoch: 7	train ppl: 196.64352955878417	val ppl: 464.24827243870897	best val: 374.9528031511737	time (s) spent in epoch: 209.11713290214539
epoch: 8	train ppl: 188.88149907894675	val ppl: 369.58514056580896	best val: 369.58514056580896	time (s) spent in epoch: 209.9350562095642
epoch: 9	train ppl: 182.3961114690692	val ppl: 387.7515638384503	best val: 369.58514056580896	time (s) spent in epoch: 209.37569117546082
epoch: 10	train ppl: 176.28953436756495	val ppl: 370.983637855131	best val: 369.58514056580896	time (s) spent in epoch: 209.1122224330902
epoch: 11	train ppl: 170.60446220865862	val ppl: 393.0586186628087	best val: 369.58514056580896	time (s) spent in epoch: 209.04848527908325
epoch: 12	train ppl: 166.02141505684065	val ppl: 494.06982835599814	best val: 369.58514056580896	time (s) spent in epoch: 209.2822835445404
